# Seed multiplication ratios of common vegetable crops,,,,
SN,Crop,Seed rate (per ha),Seed yield,Seed Multiplication Ratio
1,Broad leaf mustard,600,600,1000
2,Bottle gourd,5000,160,32
3,Bitter gourd,5000,120,24
4,Broccoli,600,600,1000
5,Carrot,5000,600,120
6,Cabbage (Drum head),600,800,1333.333333
7,Cabbage (Golden acre),600,700,1166.666667
8,Cauliflower (Kathmandu local),500,300,600
9,Cauliflower (Snowball),500,240,480
10,Stringy beans,20000,600,30
11,Hot pepper,1000,160,160
12,Chenopodium,10000,700,70
13,Cucumber,3000,100,33.33333333
14,Pole bean,30000,800,26.66666667
15,Bush bean,80000,800,10
16,Knolkhol,1000,800,800
17,Onion,10000,500,50
18,Pea,100000,1000,10
19,Pumpkin,5000,160,32
20,Radish (White neck),6000,800,133.3333333
21,Radish (Minnow early),6000,500,83.33333333
22,Capsicum,1000,100,100
23,Squash,10000,200,20
24,Sponge gourd,5000,200,40
25,Swisschard,20000,800,40
26,Spinach,15000,500,33.33333333
27,Tomato,500,100,200
28,Turnip,5000,800,160
29,Watermelon,4000,100,25
30,Onion (For western mid hills),10000,800,80
