Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","149","Nepal","5312","Area harvested","201","Lentils","1961","1961","ha","68000","F","FAO estimate"
"QC","Crops","149","Nepal","5312","Area harvested","201","Lentils","1962","1962","ha","70000","F","FAO estimate"
"QC","Crops","149","Nepal","5312","Area harvested","201","Lentils","1963","1963","ha","72000","F","FAO estimate"
"QC","Crops","149","Nepal","5312","Area harvested","201","Lentils","1964","1964","ha","73000","F","FAO estimate"
"QC","Crops","149","Nepal","5312","Area harvested","201","Lentils","1965","1965","ha","74000","F","FAO estimate"
"QC","Crops","149","Nepal","5312","Area harvested","201","Lentils","1966","1966","ha","75000","F","FAO estimate"
"QC","Crops","149","Nepal","5312","Area harvested","201","Lentils","1967","1967","ha","76000","F","FAO estimate"
"QC","Crops","149","Nepal","5312","Area harvested","201","Lentils","1968","1968","ha","77000","F","FAO estimate"
"QC","Crops","149","Nepal","5312","Area harvested","201","Lentils","1969","1969","ha","78000","F","FAO estimate"
"QC","Crops","149","Nepal","5312","Area harvested","201","Lentils","1970","1970","ha","79000","F","FAO estimate"
"QC","Crops","149","Nepal","5312","Area harvested","201","Lentils","1971","1971","ha","80000","F","FAO estimate"
"QC","Crops","149","Nepal","5312","Area harvested","201","Lentils","1972","1972","ha","82000","F","FAO estimate"
"QC","Crops","149","Nepal","5312","Area harvested","201","Lentils","1973","1973","ha","84000","F","FAO estimate"
"QC","Crops","149","Nepal","5312","Area harvested","201","Lentils","1974","1974","ha","86000","F","FAO estimate"
"QC","Crops","149","Nepal","5312","Area harvested","201","Lentils","1975","1975","ha","88000","F","FAO estimate"
"QC","Crops","149","Nepal","5312","Area harvested","201","Lentils","1976","1976","ha","90000","F","FAO estimate"
"QC","Crops","149","Nepal","5312","Area harvested","201","Lentils","1977","1977","ha","93000","F","FAO estimate"
"QC","Crops","149","Nepal","5312","Area harvested","201","Lentils","1978","1978","ha","95000","F","FAO estimate"
"QC","Crops","149","Nepal","5312","Area harvested","201","Lentils","1979","1979","ha","96000","F","FAO estimate"
"QC","Crops","149","Nepal","5312","Area harvested","201","Lentils","1980","1980","ha","98000","F","FAO estimate"
"QC","Crops","149","Nepal","5312","Area harvested","201","Lentils","1981","1981","ha","100000","F","FAO estimate"
"QC","Crops","149","Nepal","5312","Area harvested","201","Lentils","1982","1982","ha","103000","F","FAO estimate"
"QC","Crops","149","Nepal","5312","Area harvested","201","Lentils","1983","1983","ha","115000","F","FAO estimate"
"QC","Crops","149","Nepal","5312","Area harvested","201","Lentils","1984","1984","ha","106000","F","FAO estimate"
