SN,Particular,Year_BS,Month,Day,Title
1,कृषि अड्डाको स्थापना,1978,,,Establishment
2,कृषि अड्डा कृषि अफिसमा परिणत,1981,,,Conversion
3,विराटनगर जुट मिल,1997,9,15,Establishment
4,रघुपति जुट मिल,2003,,,Establishment
5,मोरङ चिनी कारखना,2003,,,Establishment
6,कृषि परिषद्को मत्स्यशाखा,2003,,,Establishment
7,काठमाण्डौमा प्राविधक स्कुल,2004,,,Establishment
8,नेपाल संयक्त राष्ट्रसंघको खाद्य तथा कृषि संगठनको सदस्य,2007,,,Membership
9,कृषि विभागको स्थापना,2008,,,Establishment
10,मोहियानी हकसम्बन्धी ऐन,2010,,,Law
11,पञ्चवर्षिय योजना सुरु,2012,,,Initiation
12,पशु–आहार उत्पादन विकास समिति ऐन,2013,,,Law
13,कृषि प्रसार सेक्सनको स्थापना,2016,,,Establishment
14,कृषि रेडियो प्रसारण कार्यक्रम,2016,,,Initiation
15,नेपाल नेसनल टोवेको कम्पनी,2017,,,Establishment
16,जलचर संरक्षण ऐन,2017,,,Law
17,जे.टी/जे.टी.ए उत्पादन,2018,,,Initiation
18,जनकपुर चुरोट कारखना,2021,9,29,Establishment
19,नेपाल चिया विकास निगम,2022,6,23,Establishment
20,सूचना साखाको स्थापना,2022,,,Establishment
21,पेटेन्ट डिजायिन र ट्रेडमार्क ऐन,2022,,,Law
22,खाद्य ऐन,2023,,,Law
23,कृषि औजार कारखाना,2025,12,12,Establishment
24,दूग्ध विकास संस्थान,2026,4,1,Establishment
25,नेपाल गोबर ग्याँस तथा कृषि यन्त्र प्रा. लि.,2026,,,Establishment
26,खाद्य नियमावली,2027,,,Regulation
27,सूर्ति विकास कम्पनी,2028,2,,Establishment
28,बाली संरक्षण ऐन,2029,,,Law
29,कृषि बजार सेवा विभाग,2029,,,Establishment
30,चार कृषि क्षेत्रिय निर्देशनालयको स्थापना,2029,,,Establishment
31,कृषि चुन उद्योग,2030,10,2,Establishment
32,नेपाल खाद्य संस्थान,2031,8,17,Establishment
33,कृषि आयोजना सेवा केन्द्र,2031,,,Establishment
34,नेपाल जुट विकास तथा व्यापार संस्थान,2031,,,Establishment
35,ग्रामिण युवा कार्यक्रम शाखा,2031,,,Establishment
36,कृषि सामाग्रि केन्द्र,2032,10,10,Establishment
37,कृषि दशक,2032,,,Initiation
38,दाना पदार्थ ऐन,2033,,,Law
39,कपास विकास समिति (गठन) आदेश,2037,,,Directive
40,जडीवुटी उत्पादन तथा प्रशोधन कम्पनी प्रा.ली,2038,9,17,Establishment
41,लुम्विनी चिनी कारखाना,2039,,,Establishment
42,पशु–आहार उत्पादन समिति स्थापना,2041,,,Establishment
