Rep,Block,Plot,Entry,col,row,tillering,moisture1,moisture2,Plant height1,Plant height2,Plant height3,Plant height4,Plant height5,Ear count
1,1,1,1,1,1,,3,3.5,283.14,254.1,271.04,273.46,268.62,35
1,1,2,3,1,2,,3,3.5,246.84,260.15,290.4,273.46,260.15,25
1,1,3,18,1,3,,3.5,4,237.16,266.2,268.62,271.04,261.36,30
1,1,4,32,1,4,,4,4.5,215.38,210.54,222.64,237.16,234.74,26
1,1,5,37,1,5,,4,4.5,273.46,258.94,271.04,268.62,266.2,30
1,2,6,27,1,6,,4,4.5,273.46,295.24,244.42,251.68,275.88,20
1,2,7,21,1,7,,4,4.5,275.88,283.14,279.51,290.4,254.1,25
1,2,8,13,1,8,,3.5,4,244.42,278.3,258.94,278.3,261.36,25
1,2,9,24,1,9,,3.5,4,280.72,309.76,324.28,287.98,,25
1,2,10,42,1,10,,3.5,4,217.8,237.16,249.26,237.16,268.62,25
1,3,11,31,1,11,,3.5,4,222.64,232.32,229.9,215.38,258.94,27
1,3,12,43,1,12,,3.5,4,198.44,210.54,249.26,244.42,234.74,27
1,3,13,45,1,13,,3.5,4,244.42,239.58,229.9,239.58,229.9,29
1,3,14,16,1,14,,3.5,4,244.42,273.46,273.46,237.16,,22
1,3,15,7,1,15,,3.5,4,242,205.7,237.16,244.42,268.62,23
1,4,16,38,1,16,,3.5,4,271.04,278.3,261.36,261.36,271.04,26
1,4,17,40,1,17,,3.5,4,222.64,227.48,210.54,225.06,234.74,35
1,4,18,6,1,18,,3,3.5,258.94,258.94,278.3,266.2,261.36,26
1,4,19,14,1,19,,3,3.5,278.3,263.78,285.56,285.56,297.66,26
1,4,20,15,1,20,,3,3.5,283.14,295.24,268.62,273.46,300.08,27
1,5,21,28,1,21,,3,3.5,244.42,285.56,285.56,278.3,249.26,21
1,5,22,48,1,22,,2.5,3,210.54,229.9,254.1,244.42,273.46,24
1,5,23,26,1,23,,2.5,3,212.96,227.48,263.78,271.04,266.2,26
1,5,24,17,1,24,,2.5,3,292.82,290.4,285.56,312.18,283.14,34
1,5,25,39,1,25,,2.5,3,254.1,242,249.26,242,256.52,35
1,6,26,5,1,26,,2.5,3,239.58,225.06,249.26,258.94,275.88,28
1,6,27,30,1,27,,3,3.5,234.74,256.52,237.16,244.42,246.84,19
1,6,28,23,1,28,,3,3.5,234.74,268.62,268.62,266.2,244.42,20
1,6,29,11,1,29,,3.5,4,258.94,304.92,268.62,285.56,273.46,31
1,6,30,10,1,30,,3.5,4,254.1,244.42,285.56,278.3,285.56,28
1,7,31,25,1,31,,3.5,4,258.94,237.16,254.1,249.26,261.36,25
1,7,32,34,1,32,,3.5,4,225.06,246.84,249.26,258.94,246.84,27
1,7,33,36,1,33,,3,3.5,271.04,258.94,280.72,280.72,271.04,30
1,7,34,22,1,34,,2.5,3,254.1,307.34,268.62,285.56,251.68,36
1,7,35,29,1,35,,2.5,3,239.58,249.26,246.84,278.3,263.78,20
1,8,36,2,1,36,,2.5,3,227.48,244.42,208.12,239.58,258.94,28
1,8,37,41,1,37,,3,3.5,273.46,258.94,271.04,287.98,,35
1,8,38,20,1,38,,3.5,4,258.94,273.46,278.3,312.18,273.46,34
1,8,39,8,1,39,,3,3.5,266.2,237.16,266.2,273.46,246.84,27
1,8,40,19,1,40,,3.5,4,227.48,254.1,237.16,244.42,244.42,30
1,9,41,4,1,41,,3,3.5,220.22,215.38,198.44,200.86,220.22,17
1,9,42,50,1,42,,3,3.5,244.42,249.26,249.26,273.46,217.8,22
1,9,43,9,1,43,,3,3.5,256.52,290.4,278.3,290.4,254.1,36
1,9,44,12,1,44,,3.5,4,258.94,263.78,278.3,278.3,271.04,26
1,9,45,44,1,45,,3.5,4,234.74,234.74,258.94,244.42,244.42,28
1,10,46,35,1,46,,4,4.5,254.1,251.68,266.2,258.94,261.36,31
1,10,47,49,1,47,,4.5,5,237.16,220.22,254.1,222.64,258.94,20
1,10,48,46,1,48,,4.5,5,254.1,251.68,285.56,246.84,283.14,30
1,10,49,47,1,49,,4.5,5,232.32,217.8,215.38,246.84,249.26,20
1,10,50,33,1,50,,4.5,5,234.74,249.26,266.2,220.22,261.36,36
2,11,51,21,2,1,6,4.5,4.5,250,280,284,282,289,31
2,11,52,49,2,2,3,4.5,4.5,225,250,236,234,265,23
2,11,53,34,2,3,4,4,4,251,260,286,273,,25
2,11,54,39,2,4,4,4,4,225,227,249,245,239,38
2,11,55,32,2,5,5,4,4,238,236,253,253,260,24
2,12,56,30,2,6,3,4.5,4.5,230,260,266,275,265,20
2,12,57,6,2,7,5,4,4,242,275,290,275,265,31
2,12,58,28,2,8,4,4,4,242,275,290,275,260,21
2,12,59,3,2,9,3,4,4,285,297,282,292,311,25
2,12,60,42,2,10,6,4,4,336,310,277,307,316,25
2,13,61,40,2,11,7,4.5,4.5,221,228,263,250,250,25
2,13,62,12,2,12,5,4.5,4.5,270,267,249,280,250,26
2,13,63,36,2,13,4,4.5,4.5,292,280,310,300,296,30
2,13,64,29,2,14,3,4.5,4.5,283,300,268,292,247,27
2,13,65,17,2,15,7,4.5,4.5,300,316,317,287,300,35
2,14,66,15,2,16,7,4.5,4.5,333,283,302,302,302,21
2,14,67,18,2,17,6,4.5,4.5,281,275,263,299,292,25
2,14,68,7,2,18,3,4.5,4.5,260,296,255,250,256,19
2,14,69,24,2,19,6,4.5,4.5,320,322,333,,,28
2,14,70,23,2,20,4,4,4,296,285,276,,,34
2,15,71,41,2,21,5,4.5,4.5,275,297,300,,,31
2,15,72,47,2,22,3,4,4,275,270,270,,,21
2,15,73,26,2,23,5,4,4,252,286,276,,,29
2,15,74,11,2,24,6,4,4,280,299,281,,,28
2,15,75,22,2,25,6,4.5,4.5,236,270,260,,,38
2,16,76,35,2,26,4,4.5,4.5,262,237,265,,,31
2,16,77,8,2,27,3,4.5,4.5,280,248,281,,,30
2,16,78,37,2,28,4,4.5,4.5,283,292,277,,,29
2,16,79,5,2,29,4,4,4,255,243,270,,,22
2,16,80,25,2,30,2,4,4,257,281,246,,,30
2,17,81,27,2,31,4,4,4,280,306,277,,,29
2,17,82,38,2,32,3,4,4,282,270,286,,,32
2,17,83,4,2,33,4,4,4,253,270,275,,,30
2,17,84,1,2,34,,,,263,297,300,,,24
2,17,85,33,2,35,,,,240,266,255,,,28
2,18,86,48,2,36,,,,267,260,273,,,27
2,18,87,9,2,37,,,,273,282,284,304,,30
2,18,88,13,2,38,,,,280,288,276,,,25
2,18,89,43,2,39,,,,235,238,275,285,,28
2,18,90,14,2,40,,,,302,299,318,,,30
2,19,91,16,2,41,,,,263,267,257,,,20
2,19,92,20,2,42,,,,272,281,334,,,29
2,19,93,10,2,43,,,,281,314,269,283,,23
2,19,94,44,2,44,,,,267,264,238,,,28
2,19,95,46,2,45,,,,315,290,318,313,,26
2,20,96,2,2,46,,,,251,290,239,285,,28
2,20,97,45,2,47,,,,220,227,260,273,,35
2,20,98,31,2,48,,,,275,253,263,,,23
2,20,99,50,2,49,,,,260,278,292,271,,31
2,20,100,19,2,50,,,,282,246,272,,,34
3,21,101,2,3,1,1,4,4,239.58,242,217.8,215.38,217.8,18
3,21,102,38,3,2,2,3,3,249.26,251.68,258.94,246.84,,29
3,21,103,11,3,3,3,4,4,237.16,268.62,266.2,263.78,275.88,29
3,21,104,39,3,4,3,3,3,210.54,246.84,251.68,244.42,,37
3,21,105,48,3,5,3,3,3,215.38,193.6,263.78,263.78,,21
3,22,106,35,3,6,3,4,4,273.46,271.04,275.88,261.36,,23
3,22,107,28,3,7,2,4,4,290.4,290.4,263.78,273.46,,21
3,22,108,40,3,8,3,4,4,239.58,234.74,244.42,229.9,,27
3,22,109,26,3,9,5,3,3,258.94,290.4,285.56,254.1,,22
3,22,110,10,3,10,5,4,4,302.5,283.14,278.3,275.88,,28
3,23,111,45,3,11,3,3,3,263.78,261.36,251.68,249.26,,27
3,23,112,27,3,12,4,3,3,268.62,278.3,268.62,283.14,,17
3,23,113,50,3,13,2,3,3,258.94,273.46,273.46,266.2,,25
3,23,114,36,3,14,2,4,4,278.3,283.14,278.3,280.72,,28
3,23,115,9,3,15,2,4,4,275.88,263.78,290.4,297.66,,26
3,24,116,33,3,16,3,4,4,268.62,263.78,278.3,258.94,,28
3,24,117,18,3,17,3,4,4,268.62,275.88,278.3,263.78,,30
3,24,118,46,3,18,2,5,5,261.36,278.3,297.66,266.2,,28
3,24,119,47,3,19,2,5,5,266.2,249.26,273.46,249.26,,25
3,24,120,34,3,20,2,5,5,254.1,268.62,254.1,273.46,,24
3,25,121,30,3,21,2,5,5,270,280,260,,,21
3,25,122,32,3,22,3,4,4,245,240,228,238,,30
3,25,123,3,3,23,5,4,4,254,282,295,,,25
3,25,124,13,3,24,3,4,4,266,285,255,283,,25
3,25,125,25,3,25,3,4,4,257,250,255,262,,27
3,26,126,7,3,26,3,4,4,250,261,224,243,,26
3,26,127,49,3,27,2,3,3,262,252,257,,,26
3,26,128,17,3,28,3,3,3,283,290,281,290,,41
3,26,129,21,3,29,3,3,3,290,293,300,272,,30
3,26,130,29,3,30,3,3,3,272,260,273,,,29
3,27,131,15,3,31,8,3,3,320,322,295,,,17
3,27,132,43,3,32,3,3,3,270,252,253,,,24
3,27,133,19,3,33,7,3,3,264,275,283,270,,32
3,27,134,41,3,34,9,3,3,297,246,263,,,18
3,27,135,42,3,35,6,3,3,310,275,228,270,,26
3,28,136,4,3,36,3,3,3,254,258,258,,,16
3,28,137,16,3,37,4,4,4,271,275,300,272,,29
3,28,138,6,3,38,3,4,4,301,284,260,290,,28
3,28,139,12,3,39,3,3,3,245,271,300,,,22
3,28,140,20,3,40,8,3,3,293,287,294,304,,30
3,29,141,22,3,41,7,3,3,288,270,283,,,24
3,29,142,24,3,42,7,3,3,315,280,325,,,33
3,29,143,5,3,43,6,3,3,261,237,281,270,,24
3,29,144,44,3,44,6,3,3,268,287,282,,,23
3,29,145,23,3,45,3,3,3,295,266,255,,,28
3,30,146,8,3,46,4,4,4,310,308,300,,,25
3,30,147,1,3,47,3,4,4,305,233,283,294,,24
3,30,148,14,3,48,5,4,4,305,293,320,330,,28
3,30,149,37,3,49,3,5,5,276,280,262,282,,32
3,30,150,31,3,50,6,5,5,214,253,238,257,,35
