severity_percent,mean_audpc,final_seed_incidence
59.26,263.89,53.33
59.26,222.18,60.67
70.37,263.33,63.33
66.67,277.78,62.67
66.67,263.85,63.33
66.67,263.89,54.67
66.67,199.08,44
59.26,231.48,50
70.38,287.04,52.67
55.56,249.99,54
51.86,189.81,51.33
59.27,250,46.67
59.26,263.89,38
51.86,217.59,34.67
55.56,240.74,45.33
70.38,296.3,40.67
55.56,212.97,40.67
74.08,305.56,35.33
66.67,245.38,52.67
55.56,222.22,58
44.45,194.44,55.33
44.45,185.19,46
66.67,245.37,58
66.67,277.79,62
51.86,222.22,46
44.45,177.3,51.33
62.97,259.26,50.67
66.67,287.04,44.67
66.67,291.67,44
62.97,259.26,44.67
51.86,240.74,30
62.97,263.89,55.33
59.27,185.19,52
44.45,175.93,58
55.56,287.04,54
37.04,217.6,50
33.33,226.85,46
66.67,175.93,58
51.86,268.52,55.33
59.27,287.04,63.33
48.15,259.26,55.33
74.08,162.04,55.55
66.67,214.74,59.33
66.67,189.82,63.33
44.44,240.74,52.67
55.56,222.22,52.67
48.15,263.89,54.67
62.97,236.11,54
59.26,199.08,55.33
59.26,263.89,58
59.26,287.04,54
41.85,245.37,52.67
74.08,236.11,63.33
74.08,305.56,60
62.96,134.26,69.33
55.56,212.97,31.33
81.49,236.11,50
33.33,287.04,31.33
59.27,245.37,50
59.27,236.11,52.67
