Roll Number,Subject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English,,,Nepali,,,C. Maths,,,Science,,,Extension,,,Soil,,,Plant protection,,,Fruit,,,Agronomy,,,Computer,,,O. Maths,,
,Theory,Practical,Total Marks,Theory,Practical,Total Marks,Theory,Practical,Total Marks,Theory,Practical,Total Marks,Theory,Practical,Total Marks,Theory,Practical,Total Marks,Theory,Practical,Total Marks,Theory,Practical,Total Marks,Theory,Practical,Total Marks,Theory,Practical,Total Marks,Theory,Practical,Total Marks
1,53+45+49,22+22+22,,45+48+35,23+22+14,,57+63+46,,,58+49+45,24+25+25,,20+32+29,48+45+50,,26+24+32,55+58+55,,34+27+36,53+45+50,,32+20+31,50+50+45,,23+35+37,58+58+50,,35+31+35,59+52+55,,27+50+45,,
2,45+55+55,21+23+23,,35+38+27,22+23+10,,30+35+31,,,48+50+31,23+25+25,,20+31+29,56+46+40,,29+19+30,56+58+54,,32+29+31,30+45+50,,32+20+25,55+50+45,,17+27+37,48+58+45,,26+21+27,46+50+50,,,,
3,53+65+57,22+24+24,,48+46+34,24+24+14,,33+27+21,,,43+36+32,22+25+20,,38+32+36,56+54+55,,32+25+29,58+58+52,,33+30+35,53+45+50,,39+32+34,58+52+50,,29+38+37,58+58+50,,33+18+30,55+50+53,,,,
4,23+20+24,17+20+20,,8+12+5,19+20+7,,3+2+1,,,3+6+5,20+15+15,,4+5+14,40+35+40,,7+8+11,50+55+45,,9+4+10,30+40+45,,6+8+7,42+48+40,,9+9+7,50+50+45,,18+16+22,40+48+48,,,,
5,30+39+33,18+21+21,,38+20+18,23+20+9,,10+3+10,,,30+8+20,23+15+15,,7+11+11,39+39+39,,12+7+15,51+56+50,,17+12+13,47+40+50,,12+8+10,40+49+48,,11+13+15,50+50+45,,22+23+25,42+50+50,,,,
6,30+32+27,18+21+21,,17+34+28,20+18+12,,3+2+3,,,3+6+12,20+15+15,,4+5+13,48+44+40,,10+7+9,50+50+45,,7+11+9,45+40+45,,9+8+7,35+38+40,,3+9+14,50+50+40,,18+16+24,40+45+45,,,,
7,45+59+44,21+23+23,,35+41+30,22+22+13,,33+8+4,,,45+33+31,23+25+20,,19+24+28,48+50+50,,22+17+18,52+51+55,,30+20+32,51+45+50,,26+25+19,48+38+40,,18+31+30,50+55+50,,28+18+32,48+50+50,,,,
8,45+51+52,21+23+23,,33+39+23,21+24+12,,50+52+44,,,48+48+35,23+25+20,,17+31+34,45+50+55,,31+27+31,57+50+52,,32+26+35,41+40+50,,35+27+36,54+50+50,,26+34+39,55+55+50,,33+16+35,53+50+50,,63+63+40,,
